SPY,201041025.0
TRXUSDT,151071010.9
EEM,138660502.0
QQQ,129566751.0
AMD,121678529.0
GE,117502804.0
XLF,115321525.0
VXX,102924676.0
F,100527313.0
BAC,91047467.0
SNAP,79674453.0
T,77614970.0
GDX,73919226.0
EFA,72001113.0
FLEX,70512416.0
INTC,67523884.0
SQQQ,56891021.0
MSFT,55471497.0
SGYP,52396844.0
FXI,51451934.0
EWZ,49856563.0
TWTR,47680247.0
AAPL,47140059.0
NOK,46088042.0
ABEV,44339176.0
XLK,42741818.0
CMCSA,42406805.0
WFT,42390729.0
PBR,41601913.0
MU,41276575.0
AKS,40440320.0
XLP,39287731.0
VALE,39044631.0
IWM,37069175.0
PX,36894351.0
XLU,36887645.0
SIRI,36744359.0
XRPUSDT,35066907.6
CHK,34937218.0
XLI,34240508.0
CSCO,31783269.0
FB,31203198.0
GGB,30709653.0
SDS,30625151.0
TQQQ,30543114.0
KMI,30121857.0
WFC,30037157.0
HMNY,30022282.0
WDC,29756498.0
PFE,28736249.0
TZA,28684503.0
FCX,28568959.0
VWO,28020104.0
FDC,27871877.0
HYG,27424103.0
TSLA,27365388.0
MOSY,27234115.0
SWN,26568466.0
TVIX,26210058.0
XLE,25577115.0
XLV,25507483.0
ADAUSDT,24874307.9
ABX,24593268.0
CIG,24575213.0
VZ,24413775.0
ERIC,24194728.0
XOP,24146640.0
C,24047667.0
XLB,23979161.0
IEMG,23691044.0
ORCL,23088946.0
GG,22551313.0
DWDP,22386713.0
EWJ,22271055.0
IAU,22241851.0
EZU,21982103.0
USO,21706639.0
KO,21451895.0
SPXS,21146499.0
AUY,20917018.0
HBAN,20687728.0
JNK,20355029.0
VEA,20146090.0
SDOW,20127539.0
PBR.A,20085023.0
AMLP,20024729.0
NFLX,19585139.0
SH,19567470.0
BABA,19461489.0
MRVL,19423337.0
JPM,19149583.0
CX,18698344.0
TLT,18577753.0
GDXJ,18476373.0
CZR,18472921.0
SPXU,18345008.0
XLY,18278802.0
XOM,18151083.0
JD,18076289.0
GM,18034095.0
ECA,18022423.0
KGC,17548159.0
CTL,17477405.0
UVXY,17221621.0
QCOM,17044692.0
MRK,16944617.0
KRE,16864798.0
NBR,16809627.0
SQ,16742301.0
IEFA,16733645.0
SOXS,16732316.0
EBAY,16687938.0
NVDA,16604486.0
ITUB,16132605.0
CLF,15907540.0
RF,15844668.0
TXN,15842491.0
GLD,15732740.0
BBD,15684842.0
JCP,15654724.0
COG,15545675.0
S,15512064.0
KEY,15383755.0
RSX,15133334.0
YECO,15100075.0
PF,15051600.0
WMB,14959179.0
AMZN,14928148.0
WMT,14917709.0
DGAZ,14691498.0
RIG,14585698.0
PG,14329583.0
TAL,14239031.0
PYPL,13953583.0
PHM,13910821.0
ON,13832971.0
VGK,13812903.0
BMY,13671245.0
SCHW,13460599.0
ACB,13383018.0
SBUX,13361655.0
AMAT,13314116.0
UPRO,13306057.0
TTNP,13294275.0
IBN,13202554.0
AMRH,13083854.0
JNUG,13050767.0
MS,12984744.0
QID,12975476.0
ESV,12835322.0
SAN,12834520.0
HAL,12527858.0
IYR,12416134.0
HPQ,12368728.0
MAS,12368575.0
WBA,12069511.0
V,12023773.0
OIH,11930644.0
TSM,11913522.0
RRTS,11865173.0
LEN,11821396.0
EQT,11730051.0
VNQ,11721200.0
TEVA,11641451.0
FOXA,11638204.0
AIG,11524954.0
NUGT,11522498.0
BKLN,11516963.0
NWL,11475623.0
AAL,11434178.0
JNJ,11365261.0
GPK,11299016.0
XBI,11179748.0
SLB,11130760.0
MDLZ,11103085.0
MRO,11082316.0
GILD,11000318.0
MET,10903592.0
NLY,10864515.0
CAT,10851222.0
STX,10746302.0
SPXL,10633736.0
HPE,10468614.0
USB,10408067.0
MCHI,10403280.0
FTV,10319924.0
LUV,10127057.0
EWG,10115974.0
FITB,10062669.0
SPLV,10041650.0
BP,10032188.0
IQ,9994853.0
XRT,9938700.0
CY,9924475.0
MAT,9905164.0
NBL,9866421.0
GFI,9859348.0
EGO,9836246.0
ITB,9748311.0
MO,9738878.0
