SPY,81031623.87649402
BAC,78131304.74900399
AMD,71193889.61553785
XLF,64262857.189243026
EEM,61726941.40438247
GE,59757706.619521916
GDX,48712674.444223106
F,39814352.635458164
MU,36726522.842629485
CHK,35711308.87051793
QQQ,34588919.03187251
NIO,30204265.789473683
AAPL,29534399.153386455
T,29337995.29681275
VXX,29084862.513944224
VALE,26201155.76494024
SNAP,25989192.87264151
INTC,25958945.5876494
MSFT,25891407.814741034
IWM,25334030.555776894
ABEV,23441833.25498008
USO,23181703.557768926
TWTR,22673154.727091633
CMCSA,22623686.221115537
RAD,22341816.760956176
CSCO,22176809.824701194
EFA,22145196.663346615
FB,21980475.135458168
EWZ,21653070.37051793
SIRI,21627161.818725098
WFT,21495570.689243026
PBR,21452253.24302789
PFE,21375160.304780878
FCX,21126832.533864543
WFC,20200386.04183267
FXI,19570330.868525896
SWN,18569185.428286854
JCP,17679437.621513944
BABA,17475229.9123506
C,17329600.772908367
AKS,17272038.175298806
IQ,16705384.150326798
XOP,16236859.731075697
HMNY,16060772.165338645
VZ,15676998.846613545
NVDA,15514620.996015936
ORCL,15271171.384462152
GDXJ,15044242.031872509
S,14891827.33864542
XLU,14747615.179282868
JPM,14706135.66135458
XLE,14419960.940239044
TEVA,14418915.310756972
NOK,14235074.934262948
RF,14191250.93625498
RIG,14037326.67131474
BHC,13979627.557768924
X,13762345.503984064
ESV,13644259.139442232
CLF,13181067.045816733
ABX,13178406.021912351
GM,13121532.954183267
JD,13120154.780876495
MRO,13090009.394422311
KMI,13082888.56374502
VWO,12918213.081673307
XLP,12801252.94621514
AMLP,12688762.247011952
HYG,12653657.575697212
BBD,12564475.183266932
JNUG,12473794.434262948
TQQQ,12239417.948207172
ITUB,12201781.523904383
LIN,12096962.0
XLK,12045136.376494024
INFY,11949287.143426295
KO,11946536.42629482
XOM,11839599.896414343
AUY,11744259.57370518
HPE,11718833.326693228
AMAT,11678250.492031872
XLI,11347894.077689243
JNK,11340122.304780876
QCOM,11323873.410358565
KR,11128582.320717132
ZNGA,11064802.800796812
KEY,11004696.29880478
ECA,10857704.629482072
CTL,10799570.478087649
SQ,10773319.537848605
SQQQ,10771766.23505976
KGC,10682416.703187251
IAU,10641694.304780876
MRK,10270676.970119521
FOXA,10249191.001992032
AABA,10221283.037848605
HPQ,10140970.61752988
HBAN,10127846.334661355
IEMG,9904000.970119521
SBUX,9903806.669322709
MS,9850812.938247012
GGB,9704140.406374501
EBAY,9696517.6812749
NBR,9645040.950199204
CX,9626029.884462152
TZA,9624731.737051792
P,9543215.322709164
M,9496526.276892431
GRPN,9249477.9561753
OAS,9247533.848605577
WMT,9142537.71115538
DNR,9089349.699203188
NLY,8900545.205179283
HAL,8843859.097609561
NUGT,8803233.603585657
MGM,8747163.472111553
TLT,8706128.910358565
VEA,8705755.209163347
VER,8674021.824701196
DWDP,8617108.280405406
NFLX,8614923.278884463
NKE,8598602.70119522
NE,8411667.944223108
GILD,8410548.958167331
RSX,8391534.143426295
XLV,8274572.5
PG,8254757.215139442
PYPL,8231112.784860558
V,8167679.806772908
MDLZ,8136759.737051792
BMY,8105867.135458168
VIPS,8098775.065737052
PBR.A,8012966.816733068
SLV,7999686.256972112
SDRL,7964264.3187251
MRVL,7855978.800796812
CZR,7831687.081673306
EWJ,7798719.555776892
IBN,7769655.6713147415
DIS,7741758.097609562
WMB,7713590.938247012
CVS,7701786.57370518
IYR,7652072.16932271
SRC,7641398.2968127495
ROKU,7619096.302158274
TLRY,7613734.618421053
GG,7567497.693227092
GLD,7508938.8904382475
CSX,7505807.8266932275
SYMC,7478347.758964144
DAL,7475145.54183267
BSX,7394673.306772908
PDD,7363633.084507043
SLB,7353018.492031872
TSLA,7282576.492031872
HST,7260235.912350598
MO,7257362.611553784
SCHW,7188191.780876494
FIT,7165358.165338646
EGO,7079561.1733067725
WPX,7004280.6733067725
KRE,6868883.065737052
COP,6852242.25498008
ATVI,6773988.9860557765
NVAX,6717914.685258964
TSM,6628432.44621514
ABBV,6609941.083665338
SAN,6602135.402390438
EZU,6589063.167330678
ON,6571028.15936255
USB,6570073.007968128
ABT,6562843.338645418
OIH,6557562.615537848
SYF,6535774.023904382
RRC,6513434.374501992
JNJ,6471243.589641434
FCAU,6394152.065737052
NWL,6377903.834661354
TGT,6348856.695219124
AES,6281334.693227092
MAT,6268336.1075697215
GLW,6233222.591633466
LC,6224067.356573706
FDC,6197718.294820718
AAL,6192685.131474104
ENDP,6167008.241035856
CVX,6054727.1394422315
FITB,6018057.846613546
CY,5986801.912350598
OCLR,5975921.03187251
COG,5967435.697211156
AIG,5962945.290836654
ODP,5940664.5478087645
HL,5929089.685258964
COTY,5927170.304780876
LOW,5914102.737051792
HBI,5880830.306772908
IAG,5855775.2968127495
BP,5792048.103585658
DVN,5748047.470119522
MET,5747196.39442231
IEFA,5726058.908366534
WBA,5722070.4203187255
DUST,5703935.994023904
ET,5693880.731075698
LQD,5675230.721115538
DGAZ,5671018.74501992
BB,5639745.555776892
UAA,5624933.709163346
LYG,5617019.370517928
NEM,5596154.007968128
GPS,5590794.717131474
NRG,5589555.663346614
EXC,5577959.87250996
CELG,5546724.187250996
AVP,5503911.741035856
XLB,5496566.1414342625
XRT,5473706.719123506
GFI,5460529.972111554
NGD,5446194.386454184
MYL,5436865.966135458
SO,5422313.912350598
JBLU,5416706.167330678
DB,5344244.384462152
STNE,5308151.571428572
LUV,5274352.561752988
JCI,5239962.101593626
XLY,5229727.250996016
ERIC,5204767.406374502
TXN,5166621.866533864
MDT,5142241.729083666
